page,id_in_page,details_page_url,agency_or_not
9,6,https://www.sortlist.com/agency/foster,1
9,7,https://www.sortlist.com/agency/wegile,1
9,8,https://www.sortlist.com/agency/awwbit-digital,1
9,9,https://www.sortlist.com/agency/flux-technologies,1
9,10,https://www.sortlist.com/agency/mobile-reality,1
9,11,https://www.sortlist.com/agency/the-tech-unit-consulting-llc,1
9,12,https://www.sortlist.com/agency/code-on,1
9,13,https://www.sortlist.com/agency/fyher,1
9,14,https://www.sortlist.com/agency/cube,1
9,15,https://www.sortlist.com/agency/elegant-bits,1
9,16,https://www.sortlist.com/agency/w3nuts-5aa01f23-2234-4bd9-83f7-ba411f8447e9,1
9,17,https://www.sortlist.com/agency/moqod,1
9,18,https://www.sortlist.com/agency/appmeup-2,1
9,19,https://www.sortlist.com/agency/bureau-billy,1
9,20,https://www.sortlist.com/agency/lightbase,1
9,21,https://www.sortlist.com/agency/o2one-labs,1
9,22,https://www.sortlist.com/agency/anzimaty,1
9,23,https://www.sortlist.com/agency/leikir-web,1
9,24,https://www.sortlist.com/agency/oldboy-creative-development,1
9,25,https://www.sortlist.com/agency/n-a-m-tech-ltd,1
9,26,https://www.sortlist.com/agency/wehyphens-private-limited,1
9,27,https://www.sortlist.com/agency/cafffeine,1
9,28,https://www.sortlist.com/agency/dreamlabs-nigeria-ltd,1
9,29,https://www.sortlist.com/agency/big-field-digital,1
9,30,https://www.sortlist.com/agency/graffino,1
9,31,https://www.sortlist.com/agency/bonanza-design,1
9,32,https://www.sortlist.com/agency/la-factoria-grafica-2,1
9,33,https://www.sortlist.com/agency/upplabs-llc,1
9,34,https://www.sortlist.com/agency/control-alt-coop-eg,1
9,35,https://www.sortlist.com/agency/chilicon-it-solutions-gmbh,1
9,36,https://www.sortlist.com/agency/owebest-technologies-private-limited,1
9,37,https://www.sortlist.com/agency/priorapps-app-entwicklung,1
9,38,https://www.sortlist.com/agency/all-front,1
9,39,https://www.sortlist.com/agency/the-information-company-tic,1
9,40,https://www.sortlist.com/agency/kalieris,1
9,41,https://www.sortlist.com/agency/altruis,1
9,42,https://www.sortlist.com/agency/inoxoft,1
9,43,https://www.sortlist.com/agency/devpassionacademy,1
9,44,https://www.sortlist.com/agency/pixelsafari-e-commerce-solutions,1
9,45,https://www.sortlist.com/agency/updoer-technology,1
9,46,https://www.sortlist.com/agency/lantern-digital,1
9,47,https://www.sortlist.com/agency/bitfactory-gmbh-2,1
9,48,https://www.sortlist.com/agency/snow-hill-digital,1
9,49,https://www.sortlist.com/agency/dashbouquet-development,1
9,50,https://www.sortlist.com/agency/wecodepixels,1
10,1,https://www.sortlist.com/agency/pixel-values-technolabs,1
10,2,https://www.sortlist.com/agency/helyx,1
10,3,https://www.sortlist.com/agency/networkcode-tech-solution,1
10,4,https://www.sortlist.com/agency/lucent-technologies,1
10,5,https://www.sortlist.com/agency/softkit,1
10,6,https://www.sortlist.com/agency/sensidev-srl,1
10,7,https://www.sortlist.com/agency/ambient-5,1
10,8,https://www.sortlist.com/agency/s2s-marketing,1
10,9,https://www.sortlist.com/agency/edgco,1
10,10,https://www.sortlist.com/agency/codiux,1
10,11,https://www.sortlist.com/agency/dij,1
10,12,https://www.sortlist.com/agency/rabbit-technology,1
10,13,https://www.sortlist.com/agency/semidot-infotech,1
10,14,https://www.sortlist.com/agency/wearegroup,1
10,15,https://www.sortlist.com/agency/media-mkr,1
10,16,https://www.sortlist.com/agency/yappa,1
10,17,https://www.sortlist.com/agency/triptyk,1
10,18,https://www.sortlist.com/agency/mutual-mobile,1
10,19,https://www.sortlist.com/agency/blubird-4447100b-a35e-4fcc-a3ea-bb0fb1b72b16,1
10,20,https://www.sortlist.com/agency/sumatosoft,1
10,21,https://www.sortlist.com/agency/booreiland,1
10,22,https://www.sortlist.com/agency/wandi,1
10,23,https://www.sortlist.com/agency/all-in-event,1
10,24,https://www.sortlist.com/agency/captive,1
10,25,https://www.sortlist.com/agency/devgap,1
10,26,https://www.sortlist.com/agency/scideas-solutions-private-limited,1
10,27,https://www.sortlist.com/agency/fameget-consultants-private-limited,1
10,28,https://www.sortlist.com/agency/tvisha-technologies-pvt-ltd,1
10,29,https://www.sortlist.com/agency/smart-code,1
10,30,https://www.sortlist.com/agency/costansin,1
10,31,https://www.sortlist.com/agency/neoteric,1
10,32,https://www.sortlist.com/agency/zettanium,1
10,33,https://www.sortlist.com/agency/bugraptors,1
10,34,https://www.sortlist.com/agency/digis,1
10,35,https://www.sortlist.com/agency/overgen,1
10,36,https://www.sortlist.com/agency/vance,1
10,37,https://www.sortlist.com/agency/lab900,1
10,38,https://www.sortlist.com/agency/buuuk,1
10,39,https://www.sortlist.com/agency/thomas-rad-creative-branding,1
10,40,https://www.sortlist.com/agency/open-web-addict,1
10,41,https://www.sortlist.com/agency/beer-n-tea-2,1
10,42,https://www.sortlist.com/agency/acinonyx-web-agency,1
10,43,https://www.sortlist.com/agency/gravity-storm,1
10,44,https://www.sortlist.com/agency/punktachtneun,1
10,45,https://www.sortlist.com/agency/highware-for-it-services,1
10,46,https://www.sortlist.com/agency/uzer,1
10,47,https://www.sortlist.com/agency/datarockets,1
10,48,https://www.sortlist.com/agency/greg-solutions,1
10,49,https://www.sortlist.com/agency/jimenapascual,1
10,50,https://www.sortlist.com/agency/raftlabs,1
11,1,https://www.sortlist.com/agency/pragmea,1
11,2,https://www.sortlist.com/agency/idea-link,1
11,3,https://www.sortlist.com/agency/greyloud-software-design-development,1
11,4,https://www.sortlist.com/agency/onabitz,1
11,5,https://www.sortlist.com/agency/nevina-infotch,1
11,6,https://www.sortlist.com/agency/imenso-software,1
11,7,https://www.sortlist.com/agency/design-master,1
11,8,https://www.sortlist.com/agency/afterlogic-works,1
11,9,https://www.sortlist.com/agency/jaydevs,1
11,10,https://www.sortlist.com/agency/ignaz-software,1
11,11,https://www.sortlist.com/agency/innomizetech,1
11,12,https://www.sortlist.com/agency/wezom-2,1
11,13,https://www.sortlist.com/agency/glorium-technologies,1
11,14,https://www.sortlist.com/agency/upsilon,1
11,15,https://www.sortlist.com/agency/yunivers-ug-haftungsbeschrankt,1
11,16,https://www.sortlist.com/agency/golden-owl-consulting-ltd,1
11,17,https://www.sortlist.com/agency/david-georges-fresh-web-dev,1
