page,id_in_page,details_page_url,agency_or_not,website
4,29,https://www.sortlist.com/agency/deuse,1,https://www.deuse.be
4,30,https://www.sortlist.com/agency/blacksmith-studio,1,https://www.blacksmith.studio/
4,31,https://www.sortlist.com/agency/ebs-integrator,1,https://ebs-integrator.com
4,32,https://www.sortlist.com/agency/ab4-systems,1,http://www.atta.systems
4,33,https://www.sortlist.com/agency/kernix-software,1,http://www.kernix.com
4,34,https://www.sortlist.com/agency/accelerator-team,1,https://www.accelerator.expert
4,35,https://www.sortlist.com/agency/anais-digital,1,http://www.anais.digital
4,36,https://www.sortlist.com/agency/know-digital,1,https://www.knowdigital.com.au
4,37,https://www.sortlist.com/agency/trente-douze,1,https://www.trente-douze.fr/
4,38,https://www.sortlist.com/agency/granite,1,http://www.grnt.fr
4,39,https://www.sortlist.com/agency/wolfpack-digital,1,http://wolfpack-digital.com
4,40,https://www.sortlist.com/agency/smartcode-group,1,https://smartcodegroup.com
4,41,https://www.sortlist.com/agency/pixels-trade-sa,1,http://www.pixelstrade.com
4,42,https://www.sortlist.com/agency/figure8,1,https://www.figure8.be/
4,43,https://www.sortlist.com/agency/usts,1,https://usts.fr/
4,44,https://www.sortlist.com/agency/klein-media,1,https://kleinmedia.nl
4,45,https://www.sortlist.com/agency/agence2web,1,http://www.agence2web.com
4,46,https://www.sortlist.com/agency/logicify,1,https://www.logicify.com
4,47,https://www.sortlist.com/agency/tesvan-qa-outsourcing-service-provider,1,https://tesvan.com
4,48,https://www.sortlist.com/agency/nemesis-tech,1,http://www.nemesis-tech.com
4,49,https://www.sortlist.com/agency/softmedia-interactive,1,http://www.softmedia.nl
4,50,https://www.sortlist.com/agency/novaway-2,1,https://www.novaway.fr
5,1,https://www.sortlist.com/agency/a2-system-mobile-research-development-sl,1,http://www.a2system.net
5,2,https://www.sortlist.com/agency/fullstack,1,https://fstck.co
5,3,https://www.sortlist.com/agency/octree,1,http://octree.ch
5,4,https://www.sortlist.com/agency/belead,1,http://www.belead.com
